  Dealer Name,,App In,Approve,Reject,Cancel,Waiting
,,,,,,
2519  Motor,,12,7,4,0,1
3 Jor.charoensub,,10,5,5,0,0
33 AutorSales,,33,17,12,1,3
33 AutorSales,,6,3,3,0,0
AMC Motor ,,6,4,2,0,0
Aphirat MotorBike,,6,1,4,0,1
Apirat Motorcycle,,31,19,10,2,0
Asia City Motor,,8,3,4,1,0
Asia City Motor,,18,11,6,1,0
Asia City Motor,,8,6,2,0,0
Asia City Motor,,8,5,3,0,0
Asia City Motor,,135,110,21,3,1
Asia City Motor,,1,0,1,0,0
Asia City Motor,,1,1,0,0,0
Asia City Motor,,1,1,0,0,0
Asia City Motor,,19,14,3,2,0
Asia City Motor,,32,22,8,2,0
Asia City Motor,,3,1,0,0,2
Asia City Motor,,21,12,8,1,0
Asia City Motor,,13,7,5,1,0
Asia City Motor,,3,3,0,0,0
Aunjai Motorcycle,,1,1,0,0,0
AutoRich,,1,1,0,0,0
BangGruay Motorcycle,,18,7,7,4,0
BangGruay Motorcycle,,26,12,11,3,0
BangGruay Motorcycle,,13,6,4,2,1
Bangyai auto city,,4,1,3,0,0
Bangyai Charoenyon,,20,15,4,1,0
BJL MOTORBIKE,,2,0,1,0,1
Buriram Yontrakarn,,2,1,0,0,1
Buriram Yontrakarn,,1,1,0,0,0
Chaiyo Motorcycle,,13,4,8,1,0
Chaiyon,,11,5,5,1,0
Chanayon Ratchaburi,,2,1,1,0,0
Chantaburi Piya Motor,,10,7,3,0,0
Chantaburi Piya Motor,,1,1,0,0,0
Chanthaburi Yanyon (2557),,1,1,0,0,0
charoenchai ,,43,14,24,3,2
Charoenyon,,32,16,15,0,1
Cha-um motor sales,,2,1,1,0,0
Cha-um motorcycle,,1,1,0,0,0
Chayanan Charoenyon,,33,27,5,0,1
Chayanan Charoenyon,,1,1,0,0,0
Chokanan Charoenyon ,,6,4,1,1,0
Chokanan Charoenyon ,,8,3,4,0,1
ChokAnan Motor,,16,9,5,0,2
Chuchai Yanyon,,48,35,10,1,2
Chuchai Yanyon,,33,23,6,2,2
Fah Prathan Motor,,23,11,8,2,2
Fah Prathan Motor,,14,8,4,1,1
Hngowha honda rungsit,,17,10,6,1,0
Honda Chanayon Petchaburi,,15,8,6,1,0
Honda Huahin,,4,2,1,0,1
Honda Kui Buri,,21,17,3,0,1
Honda Kui Buri,,2,0,1,0,1
Honda Kui Buri,,1,0,0,0,1
Honda Kui Buri,,11,4,3,1,3
Hondapetchaburi,,4,2,2,0,0
HondaPiya,,2,1,0,0,1
HondaPiya,,1,0,0,0,1
I.P. Motor,,15,11,4,0,0
J.K. Motorcy,,13,11,0,0,2
J.K. Motorcy,,7,5,2,0,0
J.K. Motorcy,,3,3,0,0,0
J.K. Motorcy,,4,3,1,0,0
J.K. Motorcy,,4,1,3,0,0
J.K. Motorcy,,5,5,0,0,0
J.K. Motorcy,,1,1,0,0,0
Jakarat Motor,,10,8,1,1,0
Jor. Charoen Huahin,,30,19,4,0,7
